rank,fips,county,diag_diabetes_pct,diag_diabetes_pct_low,diag_diabetes_pct_high,TotalPop18plus,obesity_pct,inactive_pct,pct_novehicle_low_access,pct_lowincome_low_access,pct_low_food_access,border
1,48127,Dimmit,21.5,18.9,24.3,"5,890",47.7,48.9,4.464040756,25.9058075,53.90260315,1
2,48507,Zavala,21.4,19.8,23.1,"6,563",48.2,48.2,5.537371635,19.70475006,31.59650421,1
3,48427,Starr,20.5,18.0,23.2,"44,621",45.8,47.6,5.762402058,28.65551376,39.64758682,1
4,48247,Jim Hogg,20.2,18.4,22.1,"3,365",45.7,46.6,4.093756676,22.82323456,34.94036865,1
5,48505,Zapata,20.1,17.5,22.7,"9,425",44.5,47.1,2.070812941,21.0682888,33.45455551,1
6,48489,Willacy,19.0,16.5,21.6,"15,371",44.4,44.5,3.777573586,24.46243095,41.05031586,1
7,48047,Brooks,18.2,16.6,19.8,"5,111",43.2,42.0,4.156673431,12.22740841,17.68741226,1
8,48323,Maverick,18.1,15.7,20.6,"39,943",44.6,42.2,2.05224824,26.6383934,37.01883316,1
9,48377,Presidio,17.8,15.5,20.0,"4,219",42.5,41.0,5.068180561,42.79935837,69.45389557,1
10,48215,Hidalgo,17.7,15.6,20.1,"624,451",45.0,38.0,2.440150261,23.97403145,38.8759079,1
11,48389,Reeves,17.5,15.2,19.9,"8,503",41.0,41.6,3.842519522,9.173313141,21.77831459,0
12,48061,Cameron,17.5,15.5,19.7,"306,297",41.0,36.8,2.273398161,19.78013611,33.49152756,1
13,48229,Hudspeth,17.4,16.0,18.8,"3,036",41.1,40.1,4.800966263,67.2657547,99.62373352,1
14,48079,Cochran,17.1,15.1,19.4,"1,832",42.8,41.0,0.703725457,7.884563446,21.17568398,0
15,48131,Duval,17.0,14.8,19.4,"7,139",42.2,40.2,6.151035786,16.04671097,26.72600555,1
16,48479,Webb,16.8,14.5,19.3,"186,022",42.8,40.0,1.317957401,14.42782879,27.71312523,1
17,48283,La Salle,16.6,14.3,18.7,"5,295",40.9,40.9,5.234834194,18.07218933,29.13141632,1
18,48163,Frio,16.5,14.4,18.7,"13,345",41.5,39.5,3.421093941,13.42194939,26.50165749,1
19,48109,Culberson,16.2,13.9,18.3,"1,675",40.8,38.9,7.029994488,5.169555664,7.762441158,1
20,48249,Jim Wells,16.2,13.9,18.5,"28,172",40.8,39.4,4.234220028,11.12862968,22.16429138,1
21,48117,Deaf Smith,16.0,13.9,18.3,"12,613",41.3,39.9,1.959864616,10.16032505,20.51030922,0
22,48371,Pecos,16.0,13.9,18.0,"11,009",39.9,37.3,3.303067446,12.06460381,37.09999466,0
23,48465,Val Verde,15.7,13.6,17.9,"34,333",38.8,36.7,3.080702543,20.52165222,47.192379,1
24,48437,Swisher,15.5,13.4,17.6,"5,305",41.4,36.5,0.483278453,8.539600372,18.86677742,0
25,48273,Kleberg,15.4,13.4,17.6,"22,867",40.0,35.4,2.982429981,18.12231636,33.25568008,1
26,48141,El Paso,15.3,13.5,17.2,"646,273",34.4,33.6,1.222813487,10.04316425,20.85974312,1
27,48115,Dawson,15.3,13.3,17.5,"9,004",40.0,36.8,1.618760943,18.04884911,37.67533112,0
28,48405,San Augustine,15.2,13.1,17.3,"6,232",43.9,36.0,2.965783358,1.989044309,4.502494812,0
29,48445,Terry,15.1,13.2,17.1,"8,240",41.2,36.8,2.386321306,20.39539909,42.84799957,0
30,48189,Hale,15.0,13.0,17.1,"23,506",39.5,36.1,1.088300467,8.071966171,23.29857826,0
31,48261,Kenedy,14.9,12.8,16.9,289,37.9,38.0,6.870228767,56.8639946,97.16565704,1
32,48461,Upton,14.8,13.6,16.0,"2,293",41.2,36.3,2.14444375,9.066512108,33.41282272,0
33,48341,Moore,14.7,13.5,15.9,"14,480",39.1,36.0,1.837688923,13.70919609,26.83272171,0
34,48463,Uvalde,14.6,12.7,16.7,"18,337",41.0,34.1,3.816856623,20.74987411,40.36538696,1
35,48025,Bee,14.6,12.7,16.6,"24,638",39.5,33.5,2.829606533,11.65019131,48.72572708,0
36,48111,Dallam,14.6,12.7,16.5,"4,733",39.7,35.8,1.109303594,21.42044449,48.33496857,0
37,48107,Crosby,14.6,12.7,16.6,"3,652",41.0,35.7,1.223980308,2.309498549,4.80560112,0
38,48355,Nueces,14.5,12.7,16.3,"269,148",40.0,31.3,2.717247009,10.32138157,33.83714676,0
39,48103,Crane,14.5,12.5,16.5,"3,247",40.0,35.9,0.316310674,3.445388317,13.44011402,0
40,48169,Garza,14.5,13.3,15.7,"3,597",39.9,35.9,0.925326705,6.324194908,19.83234406,0
41,48153,Floyd,14.4,13.1,15.6,"3,788",39.7,35.2,2.112332344,4.587013245,15.33294296,0
42,48255,Karnes,14.4,12.4,16.3,"12,017",39.3,34.5,4.17517519,4.427929878,14.59884834,0
43,48375,Potter,14.4,12.6,16.5,"84,112",42.0,34.6,1.569380522,8.302569389,17.69840813,0
44,48279,Lamb,14.3,12.4,16.3,"9,252",40.4,34.9,0.895457149,1.566407084,3.634248018,0
45,48017,Bailey,14.3,13.0,15.6,"4,676",39.5,36.0,0.474835128,2.241520405,6.493100166,0
46,48245,Jefferson,14.2,12.4,16.2,"189,667",41.2,31.3,2.399717331,7.978987694,23.61196709,0
47,48297,Live Oak,14.2,12.4,16.5,"9,407",40.1,33.7,1.831395745,3.674387932,10.24399662,0
48,48487,Wilbarger,14.2,12.4,16.2,"9,895",39.9,34.7,1.034806848,17.65017128,38.66159058,0
49,48351,Newton,14.1,12.2,16.0,"9,669",42.6,34.6,1.490104556,12.12415409,26.5562973,0
50,48311,McMullen,14.1,12.3,16.2,445,39.1,33.2,7.569721222,37.47067261,98.00022125,1
51,48013,Atascosa,14.0,12.3,16.0,"38,008",42.2,34.5,3.347582817,8.900866508,25.04661942,0
52,48391,Refugio,14.0,12.2,15.9,"5,209",40.1,34.0,1.639046311,5.818722725,16.42121887,0
53,48449,Titus,14.0,12.2,15.9,"22,569",38.8,34.5,2.839788675,13.05009079,30.10486984,0
54,48353,Nolan,14.0,12.1,16.1,"10,732",40.8,34.5,1.580405235,7.499300003,24.08855438,0
55,48435,Sutton,14.0,12.1,15.9,"2,454",38.6,34.1,1.743806124,12.97404671,33.34466934,0
56,48101,Cottle,13.9,12.0,16.0,"1,043",40.5,32.8,11.74005795,46.02761459,99.94135284,0
57,48321,Matagorda,13.9,12.1,15.8,"26,887",39.5,32.7,4.195870399,16.16543007,34.71574402,0
58,48409,San Patricio,13.9,12.1,15.9,"52,520",41.3,34.0,2.091145039,12.00548458,31.33854675,0
59,48291,Liberty,13.8,12.0,15.7,"75,346",40.0,34.8,3.350943804,4.392518044,9.770116806,0
60,48145,Falls,13.8,12.1,15.9,"13,585",40.3,32.6,4.560304165,7.72025919,15.21643353,0
61,48029,Bexar,13.8,12.1,15.5,"1,577,040",34.2,30.7,2.251181364,11.77875328,32.66533279,0
62,48471,Walker,13.8,11.9,15.7,"69,285",40.6,30.5,1.5319314,6.88366127,11.20074749,0
63,48137,Edwards,13.7,11.8,15.8,"1,097",38.9,33.7,2.275662184,9.543214798,31.86855316,1
64,48069,Castro,13.7,11.5,16.2,"5,107",38.9,33.5,0.292135626,6.166911125,15.34571457,0
65,48419,Shelby,13.7,12.0,15.7,"17,790",41.3,33.8,4.618098736,7.828208923,16.9090023,0
66,48177,Gonzales,13.7,11.9,15.7,"14,670",39.8,34.7,4.41720295,17.74214172,42.98519516,0
67,48063,Camp,13.7,12.0,15.3,"9,495",40.2,32.7,3.621420622,6.085330963,10.60691357,0
68,48383,Reagan,13.7,12.4,14.9,"2,250",38.7,32.9,0.0,2.203303576,6.366387844,0
69,48135,Ector,13.6,11.8,15.6,"114,193",40.1,32.5,1.511059046,7.365003109,27.85472679,0
70,48155,Foard,13.6,11.8,15.5,854,41.0,32.6,6.358381748,45.77025986,100.0,0
71,48191,Hall,13.6,11.8,15.5,"2,210",40.0,32.5,2.185270548,12.30164719,24.45471954,0
72,48055,Caldwell,13.5,11.7,15.6,"38,288",42.4,33.0,2.282204151,9.034993172,18.40205956,0
73,48357,Ochiltree,13.5,12.3,14.7,"6,797",39.6,33.5,0.353305638,3.544712067,11.7352562,0
74,48349,Navarro,13.5,11.8,15.5,"40,762",38.5,32.3,3.575502872,9.23812294,22.15447044,0
75,48335,Mitchell,13.5,11.6,15.4,"7,271",39.1,32.2,2.44542098,5.998144627,43.48420334,0
76,48475,Ward,13.5,11.7,15.5,"7,825",37.8,33.6,2.25022459,2.897669077,8.085161209,0
77,48369,Parmer,13.5,11.6,15.3,"6,935",37.4,33.2,1.904776692,22.16496468,54.32723236,0
78,48225,Houston,13.5,11.7,15.4,"17,552",38.2,31.7,4.135489941,22.91381264,39.08684921,0
79,48305,Lynn,13.4,11.6,15.4,"4,156",38.5,31.6,2.712828875,16.08450508,35.26044083,0
80,48105,Crockett,13.4,11.6,15.3,"2,119",37.6,33.8,0.471872211,2.131197453,6.634447098,0
81,48495,Winkler,13.3,11.5,15.2,"5,280",37.5,33.0,1.321113348,0.312613875,0.972869873,0
82,48045,Briscoe,13.3,11.6,15.4,"1,128",39.8,31.9,5.826771736,47.74436188,100.0,0
